Bus Hound 6.01 capture on Windows Vista Service Pack 1 (x86). Complements of www.perisoft.net

108

  Device - Device ID (followed by the endpoint for USB devices)
            (24) USB2.0-MIDI
  Phase  - Phase Type
            OUT   Data out transfer          
  Data   - Hex dump of the data transferred
  Descr  - Description of the phase
  Cmd... - Position in the captured data


Device  Phase  Data                                                Description       Cmd.Phase.Ofs(rep)
  24.2  OUT    19 90 40 71                                         ..@q                   173.1.0        
  24.2  OUT    19 92 4c 7a                                         ..Lz                   174.1.0        
  24.2  OUT    19 90 40 00                                         ..@.                   175.1.0        
  24.2  OUT    19 90 47 00                                         ..G.                   176.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   177.1.0        
  24.2  OUT    19 90 3b 75                                         ..;u                   178.1.0        
  24.2  OUT    19 92 49 6e                                         ..In                   179.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                   180.1.0        
  24.2  OUT    19 92 49 00                                         ..I.                   181.1.0        
  24.2  OUT    19 92 47 7a                                         ..Gz                   182.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   183.1.0        
  24.2  OUT    19 90 3b 71                                         ..;q                   184.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                   185.1.0        
  24.2  OUT    19 91 44 00                                         ..D.                   186.1.0        
  24.2  OUT    19 92 47 00                                         ..G.                   187.1.0        
  24.2  OUT    19 90 3b 00                                         ..;.                   188.1.0        
  24.2  OUT    19 90 47 7f                                         ..G.                   189.1.0        
  24.2  OUT    19 90 40 75                                         ..@u                   190.1.0        
  24.2  OUT    19 91 42 7f                                         ..B.                   191.1.0        
  24.2  OUT    19 91 3f 64                                         ..?d                   192.1.0        
  24.2  OUT    19 92 49 7a                                         ..Iz                   193.1.0        
  24.2  OUT    19 90 40 00                                         ..@.                   194.1.0        
  24.2  OUT    19 90 47 00                                         ..G.                   195.1.0        
  24.2  OUT    19 92 49 00                                         ..I.                   196.1.0        
  24.2  OUT    19 90 33 7f                                         ..3.                   197.1.0        
  24.2  OUT    19 92 4c 7f                                         ..L.                   198.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                   199.1.0        
  24.2  OUT    19 91 3f 00                                         ..?.                   200.1.0        
  24.2  OUT    19 90 33 00                                         ..3.                   201.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   202.1.0        
  24.2  OUT    19 90 31 6e                                         ..1n                   203.1.0        
  24.2  OUT    19 92 4c 7f                                         ..L.                   204.1.0        
  24.2  OUT    19 90 31 00                                         ..1.                   205.1.0        
  24.2  OUT    19 90 38 5f                                         ..8_                   206.1.0        
  24.2  OUT    19 90 38 00                                         ..8.                   207.1.0        
  24.2  OUT    19 90 49 64                                         ..Id                   208.1.0        
  24.2  OUT    19 90 44 7f                                         ..D.                   209.1.0        
  24.2  OUT    19 91 3f 75                                         ..?u                   210.1.0        
  24.2  OUT    19 90 44 00                                         ..D.                   211.1.0        
  24.2  OUT    19 90 49 00                                         ..I.                   212.1.0        
  24.2  OUT    19 91 3f 00                                         ..?.                   213.1.0        
  24.2  OUT    19 90 38 64                                         ..8d                   214.1.0        
  24.2  OUT    19 91 40 75                                         ..@u                   215.1.0        
  24.2  OUT    19 90 38 00                                         ..8.                   216.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   217.1.0        
  24.2  OUT    19 90 38 64                                         ..8d                   218.1.0        
  24.2  OUT    19 90 38 00                                         ..8.                   219.1.0        
  24.2  OUT    19 90 49 64                                         ..Id                   220.1.0        
  24.2  OUT    19 90 44 6e                                         ..Dn                   221.1.0        
  24.2  OUT    19 91 3f 7f                                         ..?.                   222.1.0        
  24.2  OUT    19 90 44 00                                         ..D.                   223.1.0        
  24.2  OUT    19 90 49 00                                         ..I.                   224.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   225.1.0        
  24.2  OUT    19 91 3f 00                                         ..?.                   226.1.0        
  24.2  OUT    19 90 2f 5f                                         ../_                   227.1.0        
  24.2  OUT    19 91 40 75                                         ..@u                   228.1.0        
  24.2  OUT    19 90 2f 00                                         ../.                   229.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   230.1.0        
  24.2  OUT    19 90 2d 7f                                         ..-.                   231.1.0        
  24.2  OUT    19 91 40 7f                                         ..@.                   232.1.0        
  24.2  OUT    19 91 39 75                                         ..9u                   233.1.0        
  24.2  OUT    19 91 45 7f                                         ..E.                   234.1.0        
  24.2  OUT    19 92 4c 7f                                         ..L.                   235.1.0        
  24.2  OUT    19 90 2d 00                                         ..-.                   236.1.0        
  24.2  OUT    19 90 34 7a                                         ..4z                   237.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                   238.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   239.1.0        
  24.2  OUT    19 90 45 7f                                         ..E.                   240.1.0        
  24.2  OUT    19 90 49 7a                                         ..Iz                   241.1.0        
  24.2  OUT    19 92 4c 6c                                         ..Ll                   242.1.0        
  24.2  OUT    19 90 49 00                                         ..I.                   243.1.0        
  24.2  OUT    19 90 45 00                                         ..E.                   244.1.0        
  24.2  OUT    19 92 4c 00                                         ..L.                   245.1.0        
  24.2  OUT    19 90 34 7a                                         ..4z                   246.1.0        
  24.2  OUT    19 92 49 68                                         ..Ih                   247.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                   248.1.0        
  24.2  OUT    19 92 49 00                                         ..I.                   249.1.0        
  24.2  OUT    19 92 47 7f                                         ..G.                   250.1.0        
  24.2  OUT    19 90 34 7f                                         ..4.                   251.1.0        
  24.2  OUT    19 91 39 00                                         ..9.                   252.1.0        
  24.2  OUT    19 91 45 00                                         ..E.                   253.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   254.1.0        
  24.2  OUT    19 92 47 00                                         ..G.                   255.1.0        
  24.2  OUT    19 90 34 00                                         ..4.                   256.1.0        
  24.2  OUT    19 90 45 7a                                         ..Ez                   257.1.0        
  24.2  OUT    19 90 49 7f                                         ..I.                   258.1.0        
  24.2  OUT    19 91 40 75                                         ..@u                   259.1.0        
  24.2  OUT    19 91 39 6c                                         ..9l                   260.1.0        
  24.2  OUT    19 91 45 7f                                         ..E.                   261.1.0        
  24.2  OUT    19 92 49 6e                                         ..In                   262.1.0        
  24.2  OUT    19 90 49 00                                         ..I.                   263.1.0        
  24.2  OUT    19 90 45 00                                         ..E.                   264.1.0        
  24.2  OUT    19 92 49 00                                         ..I.                   265.1.0        
  24.2  OUT    19 90 2d 75                                         ..-u                   266.1.0        
  24.2  OUT    19 92 4e 75                                         ..Nu                   267.1.0        
  24.2  OUT    19 91 39 00                                         ..9.                   268.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   269.1.0        
  24.2  OUT    19 91 45 00                                         ..E.                   270.1.0        
  24.2  OUT    19 90 2d 00                                         ..-.                   271.1.0        
  24.2  OUT    19 92 4e 00                                         ..N.                   272.1.0        
  24.2  OUT    19 91 42 68                                         ..Bh                   273.1.0        
  24.2  OUT    19 91 3f 68                                         ..?h                   274.1.0        
  24.2  OUT    19 91 3b 68                                         ..;h                   275.1.0        
  24.2  OUT    19 91 47 7f                                         ..G.                   276.1.0        
  24.2  OUT    19 92 4e 6e                                         ..Nn                   277.1.0        
  24.2  OUT    19 91 47 00                                         ..G.                   278.1.0        
  24.2  OUT    19 91 3b 00                                         ..;.                   279.1.0        
  24.2  OUT    19 91 42 00                                         ..B.                   280.1.0        
  24.2  OUT    19 91 3f 00                                         ..?.                   281.1.0        
  24.2  OUT    19 90 49 7f                                         ..I.                   282.1.0        
  24.2  OUT    19 91 40 68                                         ..@h                   283.1.0        
  24.2  OUT    19 91 3d 68                                         ..=h                   284.1.0        
  24.2  OUT    19 91 49 7f                                         ..I.                   285.1.0        
  24.2  OUT    19 91 49 00                                         ..I.                   286.1.0        
  24.2  OUT    19 91 40 00                                         ..@.                   287.1.0        
  24.2  OUT    19 91 3d 00                                         ..=.                   288.1.0        
  24.2  OUT    19 90 49 00                                         ..I.                   289.1.0        
  24.2  OUT    19 90 47 7a                                         ..Gz                   290.1.0        
  24.2  OUT    19 91 3f 68                                         ..?h                   291.1.0        
  24.2  OUT    19 91 3b 68                                         ..;h                   292.1.0        
  24.2  OUT    19 91 47 7a                                         ..Gz                   293.1.0        
  24.2  OUT    19 91 47 00                                         ..G.                   294.1.0        
  24.2  OUT    19 91 3f 00                                         ..?.                   295.1.0        
  24.2  OUT    19 91 3b 00                                         ..;.                   296.1.0        
  24.2  OUT    19 90 47 00                                         ..G.                   297.1.0        
  24.2  OUT    19 90 49 7f                                         ..I.                   298.1.0        
  24.2  OUT    19 91 40 68                                         ..@h                   299.1.0        
  24.2  OUT    19 91 3d 68                                         ..=h                   300.1.0        
  24.2  OUT    19 91 49 7f                                         ..I.                   301.1.0        
  24.2  OUT    19 90 49 00                                         ..I.                   302.1.0        
  24.2  OUT    19 91 3d 00                                         ..=.                   303.1.0        
  24.2  OUT    19 91 49 00                                         ..I.                   304.1.0        
